Palavra,Descoberta,Letras passadas,Tamanho,Letras diferentes,Num de letras faltando,Letras faltando,Percentual letras diferentes descobertas
chocou,"['_', '_', 'o', '_', 'o', 'u']","['a', 'e', 'o', 's', 'u', 'r', 'i']",6,2,3,"['c', 'h']",0.5
emitiu,"['e', 'm', 'i', 't', 'i', '_']","['a', 'e', 'o', 'i', 'x', 'r', 'm', 't', 's']",6,4,1,['u'],0.2
halos,"['_', 'a', '_', 'o', 's']","['a', 's', 'e', 'o', 'c', 'g', 'r', 'd']",5,3,2,"['l', 'h']",0.4
extorquem,"['e', '_', '_', 'o', 'r', 'q', 'u', 'e', 'm']","['a', 'e', 's', 'i', 'm', 'r', 'n', 'o', 'q', 'u', 'b']",9,6,2,"['t', 'x']",0.25
gozei,"['_', 'o', '_', 'e', 'i']","['a', 'e', 'm', 's', 'i', 'r', 'o', 't']",5,3,2,"['z', 'g']",0.4
atenas,"['a', '_', 'e', 'n', 'a', 's']","['a', 'i', 'r', 's', 'l', 'e', 'n', 'c', 'm']",6,4,1,['t'],0.2
chuleamo,"['c', 'h', '_', '_', 'e', 'a', 'm', 'o']","['a', 'o', 'm', 'e', 'r', 's', 'b', 'c', 'h', 't', 'v']",8,6,2,"['l', 'u']",0.25
procedeu,"['p', 'r', 'o', 'c', 'e', 'd', 'e', '_']","['a', 'e', 'r', 'p', 'o', 't', 'c', 'd', 'i', 'm', 's']",8,6,1,['u'],0.14285714285714285
adoecam,"['a', '_', '_', '_', '_', 'a', 'm']","['a', 'r', 'i', 's', 'm', 'n', 'l']",7,2,4,"['d', 'c', 'e', 'o']",0.6666666666666666
pichemo,"['_', 'i', '_', '_', 'e', 'm', 'o']","['a', 'e', 'o', 'm', 'r', 'i', 's', 'n', 'l']",7,4,3,"['c', 'p', 'h']",0.42857142857142855
acenavamos,"['a', '_', '_', '_', 'a', 'v', 'a', 'm', 'o', 's']","['a', 's', 'o', 'm', 'r', 'v', 'l', 'i', 'f', 'u']",10,5,3,"['c', 'n', 'e']",0.375
molhem,"['m', 'o', 'l', '_', 'e', 'm']","['a', 'e', 's', 'i', 'm', 'o', 'r', 'l', 'd']",6,4,1,['h'],0.2
jogadas,"['_', 'o', '_', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'c', 'o', 't', 'm']",7,4,2,"['j', 'g']",0.3333333333333333
pecai,"['_', 'e', 'c', 'a', 'i']","['a', 's', 'r', 'i', 'c', 'o', 'l', 'e', 'd']",5,4,1,['p'],0.2
azotadas,"['a', '_', '_', '_', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'l', 'f', 'b']",8,3,3,"['z', 't', 'o']",0.5
tombada,"['_', '_', '_', '_', 'a', 'd', 'a']","['a', 'r', 'v', 'd', 'c', 'l', 'e']",7,2,4,"['m', 't', 'b', 'o']",0.6666666666666666
ronquem,"['r', '_', '_', '_', '_', 'e', 'm']","['a', 'e', 'i', 's', 'm', 'r', 'l', 't']",7,3,4,"['u', 'q', 'n', 'o']",0.5714285714285714
tolherdes,"['_', 'o', '_', '_', 'e', 'r', 'd', 'e', 's']","['a', 'e', 's', 'r', 'd', 'o', 'c', 'v', 'm', 'f']",9,5,3,"['l', 't', 'h']",0.375
espigadas,"['e', 's', '_', '_', 'g', 'a', 'd', 'a', 's']","['a', 'r', 's', 'e', 'v', 'd', 'c', 't', 'g', 'm']",9,5,2,"['p', 'i']",0.2857142857142857
grulha,"['_', 'r', 'u', '_', '_', 'a']","['a', 'r', 'i', 'e', 'o', 'n', 'u', 'b']",6,3,3,"['l', 'h', 'g']",0.5
cravando,"['_', 'r', 'a', '_', 'a', 'n', 'd', 'o']","['a', 'r', 't', 's', 'm', 'g', 'd', 'n', 'o', 'b']",8,5,2,"['c', 'v']",0.2857142857142857
dadiva,"['_', 'a', '_', '_', '_', 'a']","['a', 'r', 'c', 't', 'l', 'n']",6,1,4,"['d', 'v', 'i']",0.75
pene,"['_', 'e', '_', 'e']","['a', 'o', 'e', 'l', 'd', 'r']",4,1,2,"['p', 'n']",0.6666666666666666
zombar,"['_', 'o', '_', 'b', 'a', 'r']","['a', 's', 'r', 'i', 'e', 'o', 't', 'b', 'u']",6,4,2,"['z', 'm']",0.3333333333333333
dentucos,"['d', 'e', 'n', '_', '_', '_', 'o', 's']","['a', 'e', 'r', 's', 'i', 'o', 'm', 'd', 'n', 'g']",8,5,3,"['u', 't', 'c']",0.375
pixel,"['_', 'i', '_', 'e', '_']","['a', 'e', 'm', 's', 'i', 'r', 'v']",5,2,3,"['l', 'p', 'x']",0.6
gabaste,"['_', 'a', '_', 'a', 's', 't', 'e']","['a', 's', 'e', 't', 'c', 'r', 'n', 'v', 'p']",7,4,2,"['b', 'g']",0.3333333333333333
pulsaria,"['_', 'u', 'l', '_', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 'e', 'o', 'u', 't', 'l', 'g', 'c']",8,5,2,"['s', 'p']",0.2857142857142857
alagues,"['a', '_', 'a', '_', '_', 'e', 's']","['a', 'r', 'i', 'm', 's', 'e', 't', 'p']",7,3,3,"['l', 'u', 'g']",0.5
molhares,"['m', 'o', 'l', '_', 'a', 'r', 'e', 's']","['a', 'r', 'e', 'i', 's', 'o', 't', 'b', 'l', 'g', 'm', 'd']",8,7,1,['h'],0.125
reinaremo,"['r', 'e', '_', '_', 'a', 'r', 'e', 'm', 'o']","['a', 's', 'r', 'e', 'o', 'm', 'c', 't', 'b', 'g']",9,5,2,"['i', 'n']",0.2857142857142857
amostra,"['a', '_', 'o', '_', '_', 'r', 'a']","['a', 'r', 'i', 'o', 'f', 'd', 'l', 'b']",7,3,3,"['m', 's', 't']",0.5
gotas,"['_', 'o', 't', 'a', 's']","['a', 's', 'r', 'i', 'o', 'c', 't', 'b', 'd']",5,4,1,['g'],0.2
fumaca,"['_', '_', '_', 'a', 'c', 'a']","['a', 'r', 'v', 'd', 'c', 'e', 'l']",6,2,3,"['f', 'u', 'm']",0.6
funil,"['_', 'u', '_', 'i', '_']","['a', 'e', 'o', 'i', 'u', 's', 'r']",5,2,3,"['f', 'l', 'n']",0.6
depilasses,"['d', 'e', '_', '_', 'l', 'a', 's', 's', 'e', 's']","['a', 's', 'e', 'r', 'd', 't', 'l', 'o', 'b', 'g']",10,5,2,"['p', 'i']",0.2857142857142857
anotas,"['a', '_', 'o', 't', 'a', 's']","['a', 'i', 'r', 's', 'l', 'e', 't', 'o', 'd']",6,4,1,['n'],0.2
bafo,"['_', 'a', '_', 'o']","['a', 'o', 'c', 't', 'r', 'g', 'n']",4,2,2,"['f', 'b']",0.5
gorro,"['_', 'o', 'r', 'r', 'o']","['a', 'e', 'o', 'r', 'b', 'c', 'f']",5,2,1,['g'],0.3333333333333333
bater,"['_', 'a', '_', '_', 'r']","['a', 's', 'r', 'l', 'p', 'c', 'v']",5,2,3,"['b', 't', 'e']",0.6
abdica,"['a', 'b', '_', 'i', '_', 'a']","['a', 'r', 'i', 't', 'n', 'l', 'b', 'x']",6,3,2,"['d', 'c']",0.4
deixo,"['_', 'e', 'i', '_', 'o']","['a', 'e', 's', 'r', 'i', 'o', 't', 'b']",5,3,2,"['d', 'x']",0.4
acucaram,"['a', '_', 'u', '_', 'a', 'r', 'a', 'm']","['a', 'r', 'o', 's', 'm', 'i', 'e', 'u', 'l']",8,4,2,['c'],0.2
mudasseis,"['_', '_', '_', 'a', 's', 's', 'e', 'i', 's']","['a', 'e', 's', 'i', 'r', 'c', 'o', 'l', 'n']",9,4,3,"['d', 'm', 'u']",0.42857142857142855
franzo,"['f', 'r', 'a', 'n', '_', 'o']","['a', 'r', 's', 't', 'o', 'n', 'd', 'c', 'f', 'g']",6,5,1,['z'],0.16666666666666666
falastes,"['_', 'a', '_', 'a', 's', 't', 'e', 's']","['a', 's', 'e', 't', 'c', 'r', 'n', 'v', 'p']",8,4,2,"['f', 'l']",0.3333333333333333
foles,"['_', 'o', '_', 'e', 's']","['a', 'e', 'm', 's', 'o', 'c', 't', 'r']",5,3,2,"['f', 'l']",0.4
buscamo,"['_', '_', '_', 'c', 'a', 'm', 'o']","['a', 'o', 'm', 'r', 'i', 'e', 'l', 'c', 'n']",7,4,3,"['b', 's', 'u']",0.42857142857142855
cambia,"['c', 'a', '_', '_', '_', 'a']","['a', 'r', 'c', 'l', 'v', 'n', 'e']",6,2,3,"['m', 'b', 'i']",0.6
defumada,"['d', 'e', '_', '_', '_', 'a', 'd', 'a']","['a', 'r', 'v', 'd', 'e', 't', 's', 'l']",8,3,3,"['f', 'u', 'm']",0.5
meiga,"['_', 'e', 'i', 'g', 'a']","['a', 'r', 'i', 'c', 't', 'e', 'd', 'g', 'l']",5,4,1,['m'],0.2
ouvirem,"['_', 'u', '_', 'i', 'r', 'e', 'm']","['a', 'e', 'i', 'r', 'u', 'm', 'g', 'n', 'b', 'f']",7,5,2,"['v', 'o']",0.2857142857142857
bolariam,"['_', 'o', '_', 'a', 'r', 'i', 'a', 'm']","['a', 'r', 'i', 's', 'm', 'c', 'o', 't', 'd', 'g']",8,5,2,"['l', 'b']",0.2857142857142857
ceies,"['_', 'e', '_', 'e', 's']","['a', 'e', 'm', 's', 'l', 'r', 'd']",5,2,2,"['c', 'i']",0.5
azeita,"['a', '_', 'e', 'i', 't', 'a']","['a', 'r', 'i', 't', 'e', 'c', 'f', 'j', 'l']",6,4,1,['z'],0.2
purgo,"['_', 'u', 'r', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'u', 't', 's']",5,3,2,"['p', 'g']",0.4
bexigas,"['_', '_', '_', 'i', '_', 'a', 's']","['a', 'r', 's', 'i', 'c', 'd', 't', 'n']",7,3,4,"['b', 'g', 'x', 'e']",0.5714285714285714
bufassem,"['_', '_', '_', 'a', 's', 's', 'e', 'm']","['a', 's', 'e', 'm', 'r', 'c', 'i', 'o', 'l']",8,4,3,"['f', 'b', 'u']",0.42857142857142855
banhar,"['_', 'a', 'n', '_', 'a', 'r']","['a', 's', 'r', 't', 'l', 'n', 'm', 'z']",6,3,2,"['b', 'h']",0.4
doida,"['_', '_', 'i', '_', 'a']","['a', 'r', 'i', 'c', 't', 'e', 'n']",5,2,3,"['d', 'o']",0.5
lembres,"['_', 'e', 'm', '_', 'r', 'e', 's']","['a', 'e', 'r', 'm', 'i', 's', 'o', 'f', 'g']",7,4,2,"['l', 'b']",0.3333333333333333
antevejo,"['a', 'n', '_', '_', '_', '_', '_', 'o']","['a', 'r', 's', 'o', 'm', 'd', 'n', 'i']",8,3,5,"['t', 'v', 'j', 'e']",0.5714285714285714
arquem,"['a', 'r', '_', '_', 'e', 'm']","['a', 'e', 'i', 's', 'm', 'r', 'g', 'j', 'p']",6,4,2,"['u', 'q']",0.3333333333333333
peruanas,"['_', '_', 'r', '_', 'a', '_', 'a', 's']","['a', 'r', 's', 'v', 'd', 'c', 'f', 'b']",8,3,4,"['u', 'p', 'n', 'e']",0.5714285714285714
afixarao,"['a', 'f', 'i', '_', 'a', 'r', 'a', 'o']","['a', 'r', 'o', 'i', 't', 'm', 'l', 'v', 'f', 'n']",8,5,1,['x'],0.16666666666666666
lerias,"['_', 'e', 'r', 'i', 'a', 's']","['a', 's', 'r', 'o', 'e', 'c', 'v', 'i', 'f', 'g']",6,5,1,['l'],0.16666666666666666
aposseis,"['a', '_', '_', 's', 's', 'e', 'i', 's']","['a', 'r', 's', 'i', 'e', 'c', 'd', 'g', 'm']",8,4,2,"['p', 'o']",0.3333333333333333
ironizamos,"['_', 'r', 'o', '_', '_', '_', 'a', 'm', 'o', 's']","['a', 'r', 'o', 's', 'm', 'p', 't', 'b', 'd', 'c']",10,5,4,"['z', 'i', 'n']",0.375
galpao,"['_', 'a', '_', '_', 'a', '_']","['a', 's', 'r', 'i', 'm', 'c']",6,1,4,"['l', 'p', 'o', 'g']",0.8
buzinamos,"['_', '_', '_', 'i', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'e', 'i', 't', 'l', 'd']",9,5,4,"['z', 'b', 'u', 'n']",0.4444444444444444
falemos,"['_', 'a', '_', 'e', 'm', 'o', 's']","['a', 's', 'e', 'm', 'o', 'c', 'r', 'b', 'n', 'v']",7,5,2,"['f', 'l']",0.2857142857142857
ato,"['a', '_', 'o']","['a', 'o', 'c', 'j', 'l', 'm', 'n']",3,2,1,['t'],0.3333333333333333
beicola,"['_', '_', 'i', '_', '_', '_', 'a']","['a', 'r', 'i', 'd', 'v', 'n', 't']",7,2,5,"['b', 'o', 'l', 'c', 'e']",0.7142857142857143
bundai,"['_', '_', 'n', '_', 'a', 'i']","['a', 's', 'r', 'i', 'e', 'n', 'c', 'g']",6,3,3,"['d', 'b', 'u']",0.5
lutava,"['_', '_', '_', 'a', 'v', 'a']","['a', 'r', 'v', 'c', 'i', 'o', 'e']",6,2,3,"['l', 'u', 't']",0.6
alongara,"['a', '_', 'o', '_', '_', 'a', 'r', 'a']","['a', 'r', 'i', 'e', 'o', 't', 'd', 's']",8,3,3,"['l', 'n', 'g']",0.5
fumegardes,"['_', '_', '_', 'e', '_', 'a', 'r', 'd', 'e', 's']","['a', 's', 'e', 'r', 'd', 'l', 'n', 'c', 't', 'p']",10,5,4,"['f', 'u', 'm', 'g']",0.4444444444444444
burlo,"['_', 'u', 'r', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'u', 't', 's']",5,3,2,"['l', 'b']",0.4
